ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?
111,45 years and older,Male,Master's degree or higher,Employed,Teacher ,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser
112,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser
113,25-34,Female,Bachelor's degree,Employed,engineer,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I don't think so,Strongly Agree,It certainly can't be,WhatsApp,I do not know,Web browser
114,45 years and older,Female,Master's degree or higher,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,I'm undecided,I have no idea,I don't think so,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser
115,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I would not like to,Strongly Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser
116,Under 18 years old,Female,High school,Employed,,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,Game algorithm,Web browser
117,25-34,Female,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Agree,I'm undecided,WhatsApp,Game algorithm,Web browser
118,25-34,Female,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Agree,Becomes,WhatsApp,I do not know,Natural language processing
119,35-44,Female,High school,Employed,,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I don't think so,I'm undecided,Can't,WhatsApp,I do not know,Web browser
120,35-44,Female,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,I don't think so,Strongly Agree,Can't,WhatsApp,Game algorithm,I do not know
121,45 years and older,Male,High school,Employed,Sigortacý,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,I'm undecided,Removes,I don't think so,Strongly Agree,Becomes,I do not know,I do not know,Image processing
122,25-34,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I would like to,I'm undecided,Absolutely Can't handle it,I don't think so,Agree,I'm undecided,WhatsApp,Excel,Web browser
123,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,Game algorithm,Oyun geliþtirme
124,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would not like to,Agree,Removes,Think,Agree,Becomes,I do not know,I do not know,I do not know
125,25-34,Male,Ön Bachelor's degree,Employed,,More than 10 hours per day,I have a good level of knowledge,I fully trust it,Both beneficial and harmful,1,I would like to,I disagree,Definitely Removes,Think,Agree,Becomes,WhatsApp,Linear regression,Natural language processing
126,25-34,Female,Bachelor's degree,Employed,Teacher ,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,I do not know,I do not know
127,25-34,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I definitely think,Agree,Becomes,WhatsApp,Game algorithm,Natural language processing
128,25-34,Female,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,1,I would not like to,Strongly Agree,Removes,Think,Agree,It certainly can't be,WhatsApp,Game algorithm,Image processing
129,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I definitely think,I'm undecided,Can't,Netflix recommendations,I do not know,I do not know
130,25-34,Female,Bachelor's degree,Employed,Civil servant,More than 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",I disagree,Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,WhatsApp,HTML,I do not know
131,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,1,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,Web browser
132,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,2,I would not like to,I'm undecided,Absolutely Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,Netflix recommendations,I do not know,Web browser
133,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,I do not know,Natural language processing
134,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I would not like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser
135,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Agree,Becomes,Netflix recommendations,I do not know,Natural language processing
136,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I don't think so,Agree,Can't,Netflix recommendations,Game algorithm,Web browser
137,25-34,Female,Bachelor's degree,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,Web browser
138,18-24,Male,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,Becomes,WhatsApp,HTML,Natural language processing
139,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,Agree,Can't,Netflix recommendations,HTML,Image processing
140,18-24,Male,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Becomes,WhatsApp,Linear regression,I do not know
141,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,3,I would like to,Agree,Removes,Think,Strongly Agree,It certainly can't be,WhatsApp,Game algorithm,Web browser
142,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,I would like to,Strongly disagree,Removes,Definitely I don't think so,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know
143,18-24,Female,Bachelor's degree,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser
144,18-24,Male,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,Agree,Definitely Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser
145,18-24,Female,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",I disagree,Removes,I definitely think,Agree,Becomes,WhatsApp,I do not know,Oyun geliþtirme
146,45 years and older,Female,Master's degree or higher,Emekliyim,Chemist,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,I disagree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser
147,18-24,Male,Bachelor's degree,Student,engineer,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I disagree,Absolutely Can't handle it,Definitely I don't think so,I disagree,Can't,ChatGPT,HTML,Image processing
148,18-24,Male,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,1,"Definitely, I would not like to",Strongly disagree,Definitely Removes,Definitely I don't think so,I'm undecided,I'm undecided,WhatsApp,Linear regression,Natural language processing
149,45 years and older,Female,Primary education,Unemployed,Housewife ,I never use it,I have no knowledge,I'm undecided,Both beneficial and harmful,1,"Definitely, I would not like to",Strongly Agree,I have no idea,I don't think so,Agree,I'm undecided,I do not know,I do not know,I do not know
150,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Agree,Can't,WhatsApp,I do not know,Web browser
151,45 years and older,Female,Ön Bachelor's degree,Unemployed,Accounting,Between 5 to 10 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,I don't think so,Agree,Becomes,I do not know,I do not know,I do not know
152,18-24,Male,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I would not like to,I disagree,Removes,I don't think so,I'm undecided,It certainly can't be,WhatsApp,Linear regression,Natural language processing
153,45 years and older,Female,Bachelor's degree,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Definitely Removes,Think,Agree,Can't,WhatsApp,Game algorithm,Web browser
154,25-34,Female,Bachelor's degree,Employed,Teacher,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,Strongly Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,HTML,Web browser
155,18-24,Male,High school,Student,,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I don't think so,Strongly Agree,Becomes,Netflix recommendations,Game algorithm,Natural language processing
156,18-24,Female,Bachelor's degree,Student,Student ,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,I'm undecided,Can't handle it,I don't think so,Agree,Can't,WhatsApp,Linear regression,Natural language processing
157,35-44,Male,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Strongly Agree,Becomes,I do not know,I do not know,Natural language processing
158,18-24,Female,Ön Bachelor's degree,Unemployed,,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Excel,Natural language processing
159,18-24,Male,Bachelor's degree,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Definitely beneficial,1,I would like to,Strongly disagree,Can't handle it,Think,I disagree,Can't,I do not know,Excel,Web browser
160,35-44,Female,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,Can't,WhatsApp,Game algorithm,Web browser
161,45 years and older,Female,High school,Emekliyim,Housewife,Between 0 to 2 hours per day,I have basic knowledge,I fully trust it,More harmful than beneficial,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,Becomes,I do not know,I do not know,I do not know
162,25-34,Male,Ön Bachelor's degree,Employed,,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,I'm undecided,Definitely Removes,I'm undecided,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser
163,18-24,Female,High school,Student,Student ,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing
164,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,4,I'm undecided,Agree,Removes,I'm undecided,I disagree,Becomes,WhatsApp,Linear regression,Web browser
165,18-24,Female,Ön Bachelor's degree,Unemployed,Intern,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,More beneficial than harmful,3,I would like to,I disagree,Removes,Think,Agree,I'm undecided,WhatsApp,I do not know,I do not know
166,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,I'm undecided,Absolutely Can't handle it,I don't think so,I disagree,Becomes,I do not know,Game algorithm,Web browser
167,Under 18 years old,Female,High school,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,I'm undecided,I'm undecided,WhatsApp,HTML,Web browser
168,Under 18 years old,Male,High school,Student,Student,I never use it,I've heard a little about it,I don't trust it at all,Definitely harmful,1,"Definitely, I would not like to",Agree,Removes,Definitely I don't think so,Strongly Agree,I'm undecided,Netflix recommendations,I do not know,Natural language processing
169,Under 18 years old,Male,High school,Student,,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,Definitely I don't think so,I disagree,Becomes,WhatsApp,Game algorithm,Web browser
170,Under 18 years old,Female,High school,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Can't handle it,I'm undecided,I'm undecided,Can't,WhatsApp,I do not know,Oyun geliþtirme
171,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would not like to,Strongly Agree,Definitely Removes,Think,Strongly Agree,Becomes,Netflix recommendations,Excel,Web browser
172,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,Think,I'm undecided,I'm undecided,I do not know,I do not know,I do not know
173,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Can't,Netflix recommendations,Game algorithm,Natural language processing
174,35-44,Female,Master's degree or higher,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Web browser
175,Under 18 years old,Male,High school,Student,,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,I disagree,I have no idea,I'm undecided,Agree,Can't,WhatsApp,Linear regression,Web browser
176,35-44,Male,Bachelor's degree,Employed,Teacher ,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,Netflix recommendations,Game algorithm,Natural language processing
177,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Can't handle it,Think,Agree,Becomes,WhatsApp,HTML,Web browser
178,Under 18 years old,Female,High school,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",Agree,Removes,I'm undecided,I'm undecided,Becomes,Netflix recommendations,I do not know,I do not know
179,35-44,Female,High school,Unemployed,Housewife ,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,Removes,I don't think so,I'm undecided,Becomes,WhatsApp,I do not know,Image processing
180,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,1,I'm undecided,Agree,Removes,Think,I'm undecided,Can't,WhatsApp,HTML,Image processing
181,18-24,Female,High school,Student,,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Excel,Web browser
182,Under 18 years old,Female,High school,Student,,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,I'm undecided,Removes,Think,I disagree,Definitely Becomes,Netflix recommendations,Excel,Web browser
183,35-44,Male,Master's degree or higher,Employed,Teacher,More than 10 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,2,I'm undecided,Agree,Removes,Think,Strongly Agree,Definitely Becomes,WhatsApp,Game algorithm,Web browser
184,35-44,Male,Bachelor's degree,Employed,Trades,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know
185,Under 18 years old,Female,High school,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,I disagree,Can't handle it,Think,Agree,Definitely Becomes,WhatsApp,I do not know,Natural language processing
186,Under 18 years old,Female,High school,Student,Student ,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,Linear regression,Web browser
187,Under 18 years old,Female,High school,Student,Student ,More than 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Definitely I don't think so,Strongly Agree,Becomes,I do not know,I do not know,Web browser
188,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Definitely beneficial,2,I would like to,I'm undecided,Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser
189,Under 18 years old,Female,High school,Student,,Between 0 to 2 hours per day,I have no knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,I'm undecided,Definitely Removes,I'm undecided,Agree,Becomes,WhatsApp,HTML,Web browser
190,Under 18 years old,Female,High school,Student,Student ,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would not like to,Strongly Agree,Removes,I'm undecided,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser
191,Under 18 years old,Female,High school,Student,,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,"Definitely, I would like to",I disagree,Removes,Definitely I don't think so,Strongly Agree,Definitely Becomes,Netflix recommendations,HTML,Web browser
192,25-34,Male,Bachelor's degree,Employed,Manager,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,Can't handle it,Definitely I don't think so,Agree,Can't,WhatsApp,Linear regression,Web browser
193,Under 18 years old,Female,High school,Student,Student ,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would not like to,Agree,Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser
194,Under 18 years old,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I disagree,Removes,Think,Agree,Can't,I do not know,I do not know,Natural language processing
195,18-24,Female,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Definitely Becomes,WhatsApp,I do not know,I do not know
196,35-44,Female,High school,Unemployed,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,Natural language processing
197,45 years and older,Female,High school,Emekliyim,Retired,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,More harmful than beneficial,1,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,I do not know
198,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Absolutely Can't handle it,Think,Agree,It certainly can't be,WhatsApp,HTML,I do not know
199,18-24,Female,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I fully trust it,Definitely beneficial,4,"Definitely, I would like to",Strongly disagree,Removes,Think,Agree,Can't,WhatsApp,Excel,Web browser
200,Under 18 years old,Female,High school,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,I'm undecided,I'm undecided,WhatsApp,I do not know,Web browser
201,Under 18 years old,Female,High school,Student,Student ,Between 0 to 2 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,4,I would like to,I'm undecided,Removes,I don't think so,Strongly Agree,Can't,Netflix recommendations,Excel,Web browser
202,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would like to,Strongly Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
203,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I would like to,Agree,Removes,Think,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Web browser
204,25-34,Male,Master's degree or higher,Employed,engineer,More than 10 hours per day,I have an expert-level knowledge,I trust it,Definitely beneficial,5,"Definitely, I would like to",Strongly disagree,Removes,I definitely think,Agree,Can't,WhatsApp,Linear regression,Natural language processing
205,Under 18 years old,Female,Primary education,Student,,Between 0 to 2 hours per day,I have a good level of knowledge,I don't trust it at all,Both beneficial and harmful,2,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,Can't,Netflix recommendations,Excel,Web browser
